REPORTNUMBER,LATITUDE,LONGITUDE
9575-2016-11935,34.154362380165324,-118.28888423966937
9250-2016-12024,38.620409,-121.515075
9365-2016-10100,38.245882,-122.078686
9590-2016-13611,34.079353,-118.227189
9126-2017-00012,39.535138,-123.414212
9835-2017-00023,35.160632,-116.186758
9590-2016-13601,34.111432,-118.183483
9540-2016-5376,34.464952,-118.616079
9725-2016-9409,36.977213,-121.436399
9690-2017-00028,33.438616,-117.621868
9340-2017-05242,37.262702,-121.800552
9540-2016-5442,34.427901,-118.406964
9525-2016-13595,34.066044,-117.800989
9370-2017-0107,37.771846,-122.224037
9125-2017-0002,40.750702,-124.193409
9365-2016-10129,38.247366,-122.074387
9220-2016-10917,38.862719,-121.134126
9370-2017-0106,37.759942,-122.213321
9540-2016-5443,34.753396,-118.795726
9590-2016-13590,34.042766,-118.217322
9430-2016-07328,35.031979,-118.972038
9535-2017-00135,33.951803,-118.170535
9770-2017-00027,34.273722,-118.65624
9525-2016-13676,34.072428,-117.940156
9855-2017-00096,34.030271,-117.690437
9580-2016-12996,34.273481,-118.589875
9220-2017-00023,38.854311,-121.143959
9535-2016-13296,33.987564,-118.170371
9580-2016-12604,34.170398,-118.603605
9480-2016-9272,36.219507,-119.136358
9535-2016-12985,34.146745,-118.161331
9360-2016-4310,38.362373,-122.778237
9530-2016-12712,33.92835,-118.239512
9590-2016-13310,34.169314,-118.302994
9360-2016-4304,38.336321,-122.98867
9465-2016-4480,37.545001,-121.274043
9590-2016-13298,34.22983,-118.395051
9465-2016-4466,37.535877,-120.891523
9535-2016-12781,34.042391,-118.170038
9535-2016-12747,34.043276,-118.170034
9530-2016-12707,33.824419,-118.2011
9580-2016-12477,34.152906,-118.371335
9530-2016-12816,33.825852,-118.237578
9465-2016-4481,37.543386,-121.271951
9360-2016-4338,38.385833,-122.716181
9575-2016-12048,34.154471,-118.322221
9365-2016-10058,38.183475,-121.750657
9525-2016-13667,34.025981,-117.780616
9525-2016-13683,34.133699,-117.955104
9340-2016-12112,37.362752,-121.888897
9630-2016-7214,33.6681,-115.656153
9580-2016-12598,34.170194,-118.386074
9535-2017-0026,33.995633,-118.1453
9590-2016-13578,34.002709,-118.281076
9221-2017-00016,39.31048865000005,-120.63856454999997
9580-2016-12605,34.154452,-118.384877
9530-2016-12455,33.788736,-118.20781
9580-2016-12594,34.14135,-118.471402
9835-2017-00017,34.896672,-116.993878
9330-2016-8195,37.484887,-122.185945
9340-2017-0004,37.296462,-121.810683
9840-2017-12751,33.942903,-117.280577
9535-2016-13198,34.038003,-118.021955
9365-2016-10112,38.145681,-122.374546
9330-2016-8295,37.578115,-122.257723
9645-2016-6651,32.753606,-117.199938
9221-2017-0002,39.224695,-120.767204
9565-2016-13561,34.122513,-118.478633
9745-2017-00036,35.086065,-120.532778
9590-2017-08782,34.058244,-118.253841
9680-2017-10842,32.803053,-116.952784
9645-2016-7617,32.706386,-117.096032
9770-2017-00022,34.184296,-118.923263
9550-2017-0082,33.977394,-118.078764
9145-2016-0381,41.862145,-122.719699
9645-2016-7701,32.714004,-117.128314
9525-2016-13452,34.000211,-117.846676
9575-2016-13340,34.272154,-118.352543
9675-2016-12577,33.898291,-117.881081
9565-2016-13554,34.034774,-118.384287
9840-2016-12961,33.940775,-117.265053
9525-2016-13477,34.072071,-117.900412
9670-2016-11372,33.774353,-118.049898
9840-2016-12705,33.845649,-117.251864
9675-2016-12572,33.753144,-117.848237
9840-2016-12734,33.928687,-117.288736
9765-2016-9656,34.26365,-119.092502
9670-2016-11390,33.856397510244015,-117.97384531168727
9840-2016-12877,34.020031,-117.544163
9765-2016-9657,34.254058,-119.213488
9675-2016-12574,33.689562,-117.920349
9330-2016-8256,37.354416,-122.110319
9575-2016-13333,34.181412,-118.169367
9565-2016-12813,34.031786,-118.416662
9840-2016-12888,33.881162,-117.616448
9580-2016-12360,34.266218,-118.480738
9221-2016-1284,39.098441,-120.949256
9590-2016-13415,34.071103,-118.264822
9580-2016-12365,34.155857,-118.446089
9535-2016-13109,33.911782,-118.176865
9840-2016-12964,33.880745,-117.572241
9645-2016-7575,32.745413,-117.11984
9580-2016-12364,34.266928,-118.48311
9420-2016-7207,35.374493,-119.044231
9330-2016-8271,37.587051,-122.346619
9835-2016-1570,35.247889,-116.092794
9535-2016-13211,34.046243,-118.169047
9345-2016-8511,37.720616,-122.178249
9590-2016-13479,34.07898,-118.290071
9265-2016-8854,38.016698,-121.356525
9590-2016-13412,34.05228,-118.259538
9645-2016-7426,32.759711,-117.162372
9680-2016-10831,32.858299,-116.931907
9265-2016-9009,38.256378,-121.037337
9465-2016-4539,37.638734,-120.817822
9840-2016-12936,34.020311,-117.545142
9760-2016-7465,34.421383,-119.610682
9265-2016-8998,38.151936,-121.156638
9250-2016-12040,38.637369,-121.409706
9750-2017-00011,34.867713,-120.398234
9840-2016-13265,33.958558,-117.309
9725-2017-0014,36.86004325250006,-121.60581653916665
9241-2016-0899,39.742928,-121.828318
9420-2016-7235,35.656909,-118.44711
9140-2016-0356,40.643834,-121.251859
9535-2016-13270,34.071941,-118.101558
9850-2016-3607,34.43496,-117.634134
9580-2016-12600,34.155869,-118.40154
9265-2016-9002,37.940313,-121.298136
9645-2016-7610,32.759602,-117.186568
9590-2016-13478,34.028668,-118.204537
9545-2016-1906,34.489462,-118.164201
9580-2016-12561,34.266021,-118.478138
9435-2016-10651,36.755006,-119.759877
9252-2017-00053,38.500438,-121.450602
9675-2016-12506,33.689944,-117.921286
9675-2016-12422,33.769831,-117.868736
9425-2016-0856,37.965158,-120.390303
9675-2016-12594,33.678768,-117.759313
9420-2016-7252,35.352676,-119.040194
9645-2016-7618,32.778581,-117.114883
9645-2016-7627,32.726298,-117.103574
9580-2016-12562,34.266021,-118.478138
9370-2016-9484,37.825122,-122.306124
9675-2016-12606,33.779495,-117.831089
9126-2016-3245,39.778038,-123.543737
9580-2016-12593,34.140767,-118.366205
9850-2016-3613,34.386892,-116.87766
9550-2016-13840,33.865567,-118.098566
9650-2016-10228,33.106216,-117.093625
9765-2017-0003,34.218375,-119.060133
9590-2016-13488,34.104287,-118.252354
9580-2016-12568,34.274482,-118.541218
9670-2016-11439,33.871508,-118.007446
9550-2016-13841,33.876214,-118.121345
9645-2016-7625,32.759297,-117.176456
9650-2016-10198,33.142306,-117.188567
9670-2016-11435,33.85386,-117.962227
9675-2016-12634,33.776118,-117.85449
9645-2016-6174,32.761051,-117.163151
9580-2016-12574,34.160167,-118.635451
9675-2016-12635,33.778266,-117.865447
9645-2016-7297,32.790235,-117.15959
9840-2016-12913,33.761366,-117.470705
9460-2016-1964,37.391403,-120.737827
9645-2016-6255,32.573987,-117.080367
9645-2016-7589,32.829239,-117.232825
9840-2016-12736,33.98936,-117.349708
9390-2016-8961,37.564859,-121.902174
9550-2016-13860,33.87646,-118.075535
9575-2016-13337,34.153105,-118.337103
9840-2016-12951,33.965408,-117.326574
9370-2016-10128,37.926742,-122.366371
9550-2016-13887,33.947237,-118.100644
9645-2016-7696,32.787377,-117.114185
9335-2016-7939,37.82374,-122.316996
9590-2016-13491,34.053878,-118.237034
9155-2017-0001,39.351209,-122.194801
9645-2016-6577,32.661481,-117.077319
9365-2016-10080,38.529607,-121.75397
9860-2017-12093,34.240239,-117.429835
9860-2017-12109,34.026692,-117.332949
9530-2016-12861,33.866385,-118.332446
9860-2017-12104,34.063965,-117.28299
9720-2017-0006,36.987039,-121.986039
9370-2017-00058,37.874822,-122.306293
9575-2016-13408,34.156362,-118.250828
9860-2016-12101,34.091868,-117.301879
9575-2016-13409,34.143699,-118.278301
9370-2017-0005,37.881706,-122.308127
9530-2017-12868,33.872701,-118.277231
9575-2016-13423,34.142634,-118.27809
9575-2016-13426,34.216652,-118.353862
9575-2016-13419,34.270972,-118.344095
9860-2017-0007,34.236451,-117.424829
9575-2016-13420,34.156348,-118.254829
9265-2016-8950,37.989096,-121.34522
9645-2016-7666,32.912722,-117.116308
9675-2016-12082,33.671221,-117.827978
9525-2016-13542,34.071659,-117.868903
9252-2017-00066,38.566141,-121.502441
9525-2016-13454,34.071976,-117.890479
9480-2016-9441,35.896048,-119.276351
9525-2016-13541,34.06742,-117.982754
9530-2016-12802,33.794333,-118.284155
9365-2016-10091,38.091494,-122.230375
9525-2016-13544,34.067832,-118.000583
9126-2017-00005,39.610292,-123.458942
9525-2016-13479,34.072184,-117.911917
9252-2017-11767,38.544839,-121.473862
9535-2016-12939,34.03653,-118.16211
9465-2016-4578,37.711848,-121.085877
9630-2016-7207,33.690391,-116.167651
9252-2017-11759,38.558001,-121.386268
9280-2016-08364,38.511419,-122.048723
9535-2016-12941,34.036137,-118.152607
9655-2017-0016,33.943182,-117.084654
9535-2016-13232,34.019655,-118.180203
9765-2017-0024,34.273553,-119.284898
9535-2016-13235,34.014274,-118.172356
9365-2016-10099,38.057918,-122.225628
9725-2016-9320,37.060189,-121.23608
9645-2016-7703,32.868987,-117.10796
9390-2017-00030,37.578588,-121.877036
9370-2017-0018,37.728704,-122.185915
9540-2016-5396,34.500953,-118.256726
9370-2017-0027,37.80223,-122.284513
9525-2016-13633,34.071918,-117.882806
9345-2017-00051,37.537022,-122.015107
9390-2017-00011,37.716192,-121.934259
9535-2016-13266,34.034795,-118.14919
9435-2016-10753,36.730647,-119.288157
9580-2016-12503,34.156137,-118.446707
9550-2017-0053,33.979742,-118.076813
9575-2016-11944,34.144974,-118.278609
9645-2017-00016,32.628412,-117.043503
9690-2017-00029,33.439473,-117.623415
9370-2017-00071,37.795681,-122.267729
9645-2017-00080,32.81788,-117.224844
9645-2017-0014,32.770516,-117.206764
9590-2016-13540,34.010297,-118.281018
9525-2016-13636,34.072364,-117.930744
9725-2017-00050,37.19758,-121.703003
9280-2016-7157,38.595513,-121.767218
9370-2016-9898,37.927012,-122.367746
9125-2016-1385,40.505515,-124.109168
9265-2016-7964,38.087216,-121.260009
9690-2016-5208,33.516838,-117.66414
9575-2016-11849,34.225694,-118.188011
9340-2016-11924,37.352458,-121.913219
9580-2016-12352,34.156717,-118.410516
9365-2016-9993,38.510989,-121.779665
9481-2016-1189,36.145589,-119.072338
9680-2016-10480,32.863874,-116.922558
9580-2016-12361,34.169149,-118.498797
9481-2016-1192,36.051655,-119.03971
9580-2016-12362,34.155632,-118.433698
9690-2016-5217,33.564174,-117.672527
9370-2016-9928,37.763741,-122.216674
9565-2016-12752,34.030416,-118.43964
9840-2016-12677,33.983188,-117.343026
9580-2016-12363,34.155629,-118.432821
9370-2016-9942,37.808955,-122.243697
9135-2016-7825,40.585883,-122.368105
9390-2016-8903,37.701612,-121.892621
9420-2016-7102,35.35267,-119.038184
9670-2016-11294,33.774365,-118.072034
9650-2016-10073,33.037218,-117.282094
9840-2016-12709,33.983631,-117.34347
9650-2016-10054,33.137206,-117.162446
9460-2016-1925,37.313367,-120.519267
9670-2016-11297,33.77434,-118.05716
9840-2016-12914,34.01891,-117.478783
9250-2016-11756,38.653793,-121.367929
9645-2016-6940,32.980725,-117.085223
9840-2016-12915,33.951822,-117.384993
9550-2016-13530,33.944361,-118.094953
9834-2016-0266,34.8580755046618,-114.87882669936764
9680-2016-10594,32.743278,-117.048918
9630-2016-7212,33.693755,-116.170853
9680-2017-10819,32.803053,-116.952784
9580-2016-12590,34.155642,-118.435804
9835-2017-0012,34.914934,-116.786597
9745-2017-00038,35.274582,-120.671305
9535-2016-12778,34.041288,-118.070146
9630-2016-7210,33.918014,-116.621884
9590-2016-13641,34.112841,-118.266563
9480-2016-9504,36.297768,-119.384363
9720-2016-11830,36.902373,-121.603628
9850-2017-00014,34.466745,-117.349061
9580-2016-12494,34.181162,-118.471079
9260-2017-00052,38.588188,-121.291957
9365-2016-10051,38.230199,-121.977224
9765-2017-0014,34.400217,-119.299742
9340-2016-12091,37.317882,-121.977405
9590-2016-13521,34.026983,-118.274766
9340-2016-11775,37.15414,-121.985551
9765-2017-0007,34.259739,-119.250077
9590-2016-13418,34.020429,-118.193519
9221-2017-00015,39.31501103125005,-120.61968653124995
9590-2016-13588,34.034915,-118.336718
9590-2016-13593,34.079353,-118.227189
9840-2016-12805,33.888783,-117.270537
9530-2017-0032,33.872675,-118.273922
9150-2017-00015,39.412401,-123.808323
9855-2016-11927,34.125531,-117.509011
9855-2016-11940,34.025526,-117.563608
9650-2016-10015,33.335867,-117.151527
9860-2016-11667,34.157281,-117.327089
9860-2016-11666,34.128919,-117.303491
9855-2016-11935,34.136521,-117.538818
9855-2016-11936,34.135061,-117.597019
9855-2016-11924,34.067544,-117.572965
9855-2016-11939,34.0858,-117.688876
9670-2016-11131,33.854197,-117.89123
9670-2016-11237,33.767219,-117.922001
9670-2016-11152,33.79861,-117.897328
9670-2016-11194,33.774512,-118.037565
9670-2016-11193,33.774345,-118.034318
9580-2016-12203,34.155305,-118.441561
9565-2016-12888,33.976906,-118.387886
9565-2016-13003,34.071285,-118.465379
9545-2016-1867,34.523572,-118.111803
9840-2016-12816,33.929222,-117.416589
9840-2017-00025,33.997121,-117.366387
9575-2016-13336,34.15183,-118.142069
9252-2016-11696,38.554046,-121.407839
9535-2016-13131,34.037389,-118.064258
9530-2016-12764,33.928693,-118.28662
9420-2016-7215,35.35241,-118.997678
9535-2016-13104,34.071829,-118.107824
9365-2016-10031,38.393947,-121.926459
9670-2016-11394,33.774759,-118.044054
9330-2016-8233,37.574391,-122.261599
9435-2016-10714,36.741138,-119.666285
9530-2016-12801,33.927163,-118.21508
9150-2016-3369,39.392988,-123.810641
9545-2016-1895,34.373213,-117.677338
9370-2016-10138,37.831897,-122.293815
9340-2016-12114,37.316848,-121.922009
9580-2016-12498,34.27339,-118.568122
9590-2016-13456,34.037445,-118.282435
9420-2016-7184,35.393265,-119.027863
9252-2017-00040,38.567132,-121.506189
9655-2016-7644,33.924208,-116.739623
9130-2016-1013,40.29505,-122.279145
9330-2016-8244,37.364066,-122.123738
9320-2016-9070,38.023217,-122.106616
9680-2016-10779,32.874367,-116.924455
9580-2016-12530,34.154434,-118.395562
9340-2016-12140,37.420941,-121.936955
9535-2016-13219,34.05598,-118.003316
9840-2017-0022,33.900479,-117.472086
9725-2016-9412,37.164622,-121.66533
9670-2016-11418,33.695868,-117.935617
9525-2016-13478,34.06654,-118.000402
9550-2016-13784,33.994592,-118.068949
9456-2016-0423,37.171895,-119.728188
9765-2016-7214,34.220535,-119.087118
9670-2016-11420,33.769007,-117.916806
9365-2016-10012,38.529858,-121.752702
9221-2016-1282,39.130811,-120.936464
9250-2016-11961,38.712938,-121.303485
9252-2017-0004,38.579993,-121.505364
9730-2016-6300,36.565968,-121.514429
9375-2016-7140,37.691556,-122.100369
9750-2017-00012,34.84639,-120.379706
9535-2016-13244,34.068075,-118.026217
9580-2016-12533,34.266008,-118.476217
9465-2016-4508,37.528723,-120.889192
9120-2016-0321,41.647838,-124.112672
9625-2016-9635,33.121888,-115.853114
9461-2016-6899,37.226275,-121.083811
9260-2016-11515,38.638748,-121.202078
9740-2016-1295,35.551127,-120.773126
9241-2016-0862,39.688863,-121.772037
9730-2016-6214,36.763141,-121.754537
9365-2016-9952,38.089747,-122.223968
9125-2016-1362,40.478117,-123.950504
9675-2016-12250,33.687912,-117.90974
9360-2016-4141,38.430507,-122.715223
9525-2016-13093,34.07028,-117.960897
9461-2016-6906,37.103936,-121.133553
9360-2016-4246,38.48353,-122.73843
9370-2016-9956,37.73712,-122.193316
9240-2016-7992,39.511653,-121.572536
9675-2016-12229,33.851934,-117.813146
9670-2016-11440,33.85603,-118.004352
9840-2017-0014,33.949417,-117.385965
9330-2016-8120,37.493066,-122.22283
9265-2016-9010,38.119499,-121.257331
9645-2016-7624,32.656732,-117.106631
9260-2016-11617,38.567452,-121.3333
9720-2016-11411,37.121863,-121.973911
9645-2016-7628,32.759301,-117.178143
9670-2016-11437,33.774335,-118.054738
9645-2016-7558,32.803946,-117.154601
9222-2017-0002,39.423623,-120.035794
9675-2016-12636,33.805047,-117.880186
9545-2016-1908,34.65158,-118.153297
9765-2016-9677,34.214207,-119.00932
9645-2016-7652,32.641176,-117.056042
9645-2016-7630,32.912533,-117.229103
9675-2016-12628,33.676352,-117.757039
9590-2016-13271,34.079353,-118.227189
9590-2016-13244,33.990186,-118.280493
9725-2016-9333,36.948972,-121.552843
9525-2016-13177,34.030422,-117.647273
9550-2016-13491,33.863931,-118.046223
9340-2016-11919,37.251396,-121.838276
9680-2016-10593,32.743278,-117.048918
9645-2016-7167,32.819304,-117.161059
9690-2016-5221,33.519579,-117.620339
9220-2016-10836,38.773449,-121.24301
9250-2016-11777,38.612187,-121.425591
9630-2016-7179,33.544843,-116.040306
9295-2016-1564,38.597471,-120.223084
9120-2016-0357,41.809034,-124.049754
9390-2016-8842,37.470358,-121.908794
9860-2017-0013,34.14318,-117.255005
9575-2016-13431,34.145108,-118.218869
9370-2016-10155,37.839569,-122.296907
9575-2016-13430,34.228056,-118.25673
9575-2016-13417,34.186869,-118.32065
9860-2017-0016,34.300025,-117.458509
9860-2017-0021,34.064001,-117.275715
9860-2016-12087,34.063789,-117.270159
9360-2016-4188,38.370043,-122.713027
9340-2016-12015,37.363081,-121.892284
9575-2016-13432,34.289077,-118.408608
9370-2016-10150,37.856904,-122.214734
9460-2016-1892,37.371722,-120.850705
9480-2016-9486,36.162506,-119.33231
9575-2016-13412,34.140946,-118.276959
9465-2016-4554,37.727171,-121.105178
9535-2016-13242,34.01624,-118.172952
9830-2016-3218,35.297874,-118.003324
9501-2016-0018,33.832007,-118.256209
9150-2017-0002,38.949173,-123.69584
9525-2016-13516,34.129105,-117.941442
9645-2016-7684,32.714004,-117.128314
9525-2016-13547,34.022328,-117.812932
9435-2016-10759,36.906106,-119.518117
9535-2016-13243,34.037623,-118.022468
9252-2017-11755,38.554101,-121.474175
9390-2016-11707,37.774537,-121.97394
9855-2017-0009,34.072417,-117.544859
9430-2016-07330,35.030449,-118.970201
9525-2016-13190,34.067951,-118.031797
9645-2016-6462,32.779993,-117.13789
9365-2016-10041,38.227368,-122.12103
9834-2016-0273,34.309749,-114.652437
9720-2016-11872,37.133851,-122.139212
9525-2016-13591,34.066296,-117.991109
9525-2016-13153,34.071971,-118.095099
9630-2016-7205,33.688542,-115.515087
9770-2017-00013,34.201525,-118.977765
9840-2016-12644,33.917181,-117.287672
9435-2016-10748,36.752972,-119.695488
9765-2017-0009,34.262576,-119.23151
9330-2016-8224,37.486745,-122.199345
9535-2016-13277,34.0642,-118.010007
9835-2017-0002,34.933025,-116.712747
9130-2016-1008,40.201008,-122.242205
9540-2016-5384,34.472219,-118.314505
9265-2016-8126,37.987461,-121.245713
9345-2017-00065,37.732319,-122.189095
9260-2017-00047,38.64224,-121.161545
9525-2016-13631,33.999079,-117.853089
9125-2017-03068,40.615258,-124.195756
9590-2016-13544,34.104745,-118.325189
9855-2016-13567,34.053609,-117.547622
9725-2017-00052,37.216674,-121.729972
9365-2016-10130,38.257904,-122.062793
9650-2017-00069,33.106814,-117.312787
9645-2017-00017,32.702541,-117.094821
9220-2016-10919,38.889352,-121.089834
9426-2016-5697,35.030958,-118.970815
9370-2017-00065,37.875798,-122.306594
9755-2017-00012,34.480475,-120.229684
9120-2016-0366,41.826076,-124.032528
9540-2016-5435,34.49834695231039,-118.62541884831029
9670-2016-11210,33.85605,-117.999306
9390-2016-8849,37.501571,-121.930022
9266-2016-7590,37.762906,-121.4387
9770-2016-9651,34.271287,-118.94121
9525-2016-13128,34.075365,-117.748604
9280-2016-7135,38.497056,-122.03395
9535-2016-12693,33.883335,-118.027485
9565-2016-12753,34.031175,-118.434295
9580-2016-12369,34.149337,-118.373422
9825-2016-2932,37.421437,-118.349726
9480-2016-9404,36.327154,-119.36067
9730-2016-6247,36.799218,-121.664374
9252-2016-11446,38.584998,-121.454978
9350-2016-2135,37.968067,-122.519836
9465-2016-4361,37.625486,-120.996449
9770-2016-9622,34.184385,-118.909061
9565-2016-12754,34.030603,-118.438267
9580-2016-12460,34.170454,-118.467684
9390-2016-8869,37.7209498193334,-121.65476871811109
9670-2016-11371,33.72376,-117.976537
9530-2016-12395,33.859818,-118.297855
9680-2016-10208,32.779238,-116.999863
9670-2016-11370,33.852651,-117.972863
9834-2016-0270,34.893,-114.762262
9530-2016-12367,34.049221,-118.264456
9670-2016-11224,33.713923,-117.964662
9530-2016-12371,34.047584,-118.267157
9834-2016-0267,34.855797,-114.897395
9590-2016-13142,34.036399,-118.269985
9670-2016-11243,33.724916,-117.978123
9550-2016-13474,33.870126,-118.05571
9250-2016-11745,38.687627,-121.331161
9550-2016-13506,33.916876,-118.104696
9860-2016-11838,34.064188,-117.280162
9855-2016-13185,34.049604,-117.549584
9535-2016-12860,34.042641,-118.217404
9495-2016-7118,35.616204,-119.65405
9550-2016-13876,33.931204,-118.101785
9426-2016-5699,35.058517,-119.18854
9590-2016-13642,34.102789,-118.197484
9155-2016-0871,39.098521,-122.112799
9365-2016-10065,38.089747,-122.223968
9426-2017-0001,35.347143,-119.252211
9535-2017-00070,33.899227,-118.187093
9525-2017-0004,34.071691,-117.792225
9530-2016-12799,33.867671,-118.196165
9750-2017-00021,34.879809,-120.436588
9745-2017-00037,35.119271,-120.578432
9580-2016-12608,34.147063,-118.470184
9690-2017-00036,33.432107,-117.615469
9525-2016-13328,34.152318,-118.120458
9835-2017-0008,34.720928,-115.679722
9370-2016-10144,37.931219,-122.324965
9340-2016-11967,37.365196,-121.901392
9280-2017-00037,38.694673,-121.760345
9590-2016-13634,34.051454,-118.260767
9340-2016-11944,37.171657,-121.990777
9580-2016-12610,34.225715,-118.473147
9126-2017-00010,39.787019,-123.544425
9126-2017-00011,39.826225,-123.594822
9580-2016-12216,34.164728,-118.469589
9580-2016-12217,34.165585,-118.4929
9580-2016-12205,34.156733,-118.414362
9580-2016-12236,34.181282,-118.471168
9770-2016-9596,34.040082,-118.577717
9540-2016-5181,34.249161,-118.472315
9580-2016-12208,34.150652,-118.686687
9580-2016-12218,34.129631,-118.473788
9675-2016-11977,33.915472,-117.882063
9675-2016-11978,33.701983,-117.858288
9675-2016-11951,33.911411,-117.883579
9675-2016-11999,33.687628,-117.899155
9675-2016-12024,33.854656,-117.875555
9675-2016-12012,33.716618,-117.790853
9675-2016-12011,33.931406,-117.879478
9675-2016-12021,33.857344,-117.875937
9250-2016-12025,38.586489,-121.448201
9575-2016-13405,34.273592,-118.036596
9390-2016-8925,37.812717,-121.993234
9250-2016-12026,38.641266,-121.453089
9840-2016-12902,33.972696,-117.332254
9440-2016-0770,36.312159,-119.69879
9250-2016-12031,38.603346148783196,-121.43537117042165
9765-2016-9655,34.22334,-119.15001
9390-2017-00019,37.785961,-121.979905
9575-2016-13345,34.195956,-118.333877
9580-2016-12542,34.138999,-118.471153
9440-2016-0773,36.294689,-119.761226
9545-2016-1901,34.504742,-118.115534
9580-2016-12601,34.145617,-118.368734
9575-2016-13343,34.197958,-118.336827
9645-2016-7567,32.605913,-117.090145
9266-2016-7637,37.779783,-121.314472
9840-2016-12956,33.762216,-117.472447
9252-2017-00046,38.525377,-121.467886
9340-2016-12167,37.314711,-121.911817
9365-2016-10033,38.266009,-122.055954
9580-2016-12532,34.22184,-118.410195
9645-2016-6379,32.713166,-117.142992
9340-2016-12096,37.377517,-121.78479
9375-2016-7087,37.697346,-122.117274
9590-2016-13490,34.029349,-118.200181
9840-2016-12957,33.882097,-117.584638
9725-2016-9413,37.252855,-121.788784
9330-2016-8260,37.459949,-122.140014
9330-2016-8270,37.506964,-122.340007
9645-2016-6475,32.722716,-117.161853
9252-2017-00034,38.45769,-121.410951
9420-2016-7247,35.267113,-119.217263
9850-2016-3614,34.391799,-117.577659
9550-2016-13800,33.998039,-117.935513
9855-2017-00040,34.030446,-117.640755
9525-2016-13538,34.069892,-117.963839
9535-2016-12703,34.071472,-118.135221
9246-2016-0297,38.995324,-120.108776
9650-2016-10173,33.136936,-117.167117
9750-2017-00015,34.982514,-120.432053
9250-2016-12057,38.671485,-121.602739
9830-2016-3227,35.097429,-118.145504
9580-2016-12534,34.273077,-118.550579
9335-2016-7935,37.79861405904024,-122.37720480442334
9420-2016-7245,35.398051,-119.0448
9465-2016-4543,37.604746,-120.97193
9590-2016-13449,34.111509,-118.182669
9280-2016-7113,38.551929,-121.698819
9125-2016-1363,40.928682,-123.625499
9630-2016-7104,33.818733,-116.407119
9370-2016-9957,37.849036,-122.242423
9675-2016-12236,33.858763,-117.717005
9525-2016-13111,34.068385,-117.850987
9535-2016-12933,34.05964,-118.165387
9425-2016-0790,37.84997451823816,-120.59652697009518
9730-2016-6204,36.595137,-121.868453
9370-2016-9958,37.843783,-122.226339
9365-2016-9960,38.063542,-122.226087
9125-2016-1371,40.615342,-124.195912
9675-2016-12249,33.677408,-117.844973
9240-2016-8000,39.574314,-121.615897
9480-2016-9309,36.260656,-119.360697
9280-2016-7118,38.573486,-121.518348
9246-2016-0280,38.805289,-120.10346
9525-2016-13103,34.024063,-117.764053
9840-2016-13255,34.014751,-117.453108
9675-2016-12623,33.68046,-117.851857
9222-2017-00011,39.33022219337023,-120.28518752486185
9840-2016-13257,33.879021,-117.656946
9720-2016-11863,37.095954,-122.097383
