REPORTNUMBER,LATITUDE,LONGITUDE
9370-2017-12020,37.843081,-122.297576
9765-2017-00451,34.283705,-119.319129
9550-2017-15693,33.924966,-118.104035
9265-2017-09831,37.898978,-121.220593
9645-2017-12178,32.596891,-117.089057
9330-2017-12613,37.448895,-122.123033
9345-2017-00472,37.476974,-121.932964
9260-2017-12146,38.591494,-121.286511
9655-2017-13034,33.925653,-116.813415
9860-2017-13426,34.207479,-117.413367
9680-2017-11626,32.774929,-117.047352
9260-2017-12228,38.639859,-121.197436
9675-2017-14775,33.744132,-117.84135
9590-2017-14879,34.045041,-118.271028
9565-2017-14694,34.095511,-118.47644
9245-2017-02613,38.70466,-120.856756
9675-2017-15148,33.718622,-117.79374
9125-2017-03256,40.669061,-124.202281
9252-2017-12562,38.336648,-121.332531
9725-2017-02793,36.978787,-121.556744
9525-2017-14935,34.071849,-117.876533
9265-2017-09531,37.801196,-121.299345
9645-2017-11716,32.676661,-117.109272
9370-2017-11858,37.866974,-122.303861
9390-2017-09015,37.58386,-121.873457
9690-2017-00364,33.558963,-117.673004
9535-2017-15202,34.034011,-118.108914
9750-2017-00277,34.881728,-120.410339
9855-2017-15016,34.108953,-117.528994
9550-2017-15782,34.029111,-118.006523
9720-2017-06814,37.149112,-122.157369
9266-2017-00288,37.781768,-121.311769
9252-2017-12751,38.565034,-121.498427
9675-2017-15331,33.726431,-117.805112
9645-2017-11475,32.726689,-117.1038
9535-2017-14892,33.977248,-118.12638
9435-2017-10957,36.596936,-119.65196
9835-2017-03718,35.0087,-116.537696
9330-2017-12618,37.450033,-122.124202
9330-2017-12600,37.483772,-122.181858
9345-2017-00578,37.530481,-122.003476
9550-2017-15241,33.994734,-118.068914
9535-2017-14754,34.044421,-118.009889
9480-2017-09501,35.891382,-119.405343
9550-2017-15243,33.943828,-118.095229
9645-2017-11687,32.640095,-117.054905
9480-2017-09497,36.541589,-119.286867
9525-2017-15213,34.119639,-117.759756
9745-2017-00244,35.149748,-120.65101
9265-2017-09615,38.343059,-121.335497
9580-2017-14895,34.154416,-118.46815
9580-2017-14911,34.253526,-118.472273
9840-2017-14757,34.018268,-117.522383
